name,price,color,mileage,brand,model,location,date_displayed,transmission,air_conditioner,power_steering,remote_control,item_url,year,log_price,car_age,km_per_year,search_text
Volkswagen Jetta 2008,590000.0,Black,215000.0,Volkswagen,Jetta,Giza,2024-02-13,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/volks-wagen/jetta/6269184,2008.0,13.28787951079572,18.0,11944.444444444445,brand Volkswagen model Jetta name Volkswagen Jetta 2008 location Giza color Black transmission Automatic
MG 5 2022,980000.0,Blue,58000.0,MG,5,El Haram,2024-02-13,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6269091,2022.0,13.795308871054397,4.0,14500.0,brand MG model 5 name MG 5 2022 location El Haram color Blue transmission Automatic
Geely Emgrand 7 2014,395000.0,Gold,119000.0,Geely,Emgrand 7,6 October,2024-02-13,Manual,No,No,No,https://eg.hatla2ee.com/en/car/geely/emgrand7/6269018,2014.0,12.886643575525625,12.0,9916.666666666666,brand Geely model Emgrand 7 name Geely Emgrand 7 2014 location 6 October color Gold transmission Manual
Nissan Sunny 2022,680000.0,Red,53000.0,Nissan,Sunny,El Qanater El Khayreya,2024-02-13,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6269049,2022.0,13.429849547739444,4.0,13250.0,brand Nissan model Sunny name Nissan Sunny 2022 location El Qanater El Khayreya color Red transmission Automatic
Hyundai Verna 2011,350000.0,Dark red,120000.0,Hyundai,Verna,Ismailia,2024-02-13,Manual,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/verna/6268971,2011.0,12.765691290604371,15.0,8000.0,brand Hyundai model Verna name Hyundai Verna 2011 location Ismailia color Dark red transmission Manual
Hyundai Tucson 2021,2100000.0,Black,75000.0,Hyundai,Tucson,Sheikh Zayed City,2024-02-13,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/tucson/6268946,2021.0,14.557448378884015,5.0,15000.0,brand Hyundai model Tucson name Hyundai Tucson 2021 location Sheikh Zayed City color Black transmission Automatic
Chevrolet Avalanche 2020,1000000.0,White,100000.0,Chevrolet,Avalanche,Suez,2024-02-13,Manual,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/avalanche/6268985,2020.0,13.815511557963774,6.0,16666.666666666668,brand Chevrolet model Avalanche name Chevrolet Avalanche 2020 location Suez color White transmission Manual
Renault Sandero 2019,700000.0,Gray,67000.0,Renault,Sandero,Dakahlia,2024-02-13,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/sandero/6268991,2019.0,13.45883704259595,7.0,9571.42857142857,brand Renault model Sandero name Renault Sandero 2019 location Dakahlia color Gray transmission Automatic
Mitsubishi Lancer EX Shark 2016,750000.0,Silver,100000.0,Mitsubishi,Lancer EX Shark,Sharqia,2024-02-13,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6268934,2016.0,13.527829818844937,10.0,10000.0,brand Mitsubishi model Lancer EX Shark name Mitsubishi Lancer EX Shark 2016 location Sharqia color Silver transmission Automatic
Jac S2 2018,620000.0,Black,176000.0,Jac,S2,Giza,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jac/s2/6268794,2018.0,13.3374763699232,8.0,22000.0,brand Jac model S2 name Jac S2 2018 location Giza color Black transmission Automatic
